"Finance Cost","Custo do Parcelamento"
"GMT not found.","GMT not found."
"Date format must be yyyy-MM-dd.","Date format must be yyyy-MM-dd."
"Zero amount is not valid.","Zero amount is not valid."
"another balance block is being processed for this payer.","another balance block is being processed for this payer."
"Invalid currency id.","Invalid currency id."
"Config not found.","Config not found."
"Template not found.","Template not found."
"Site is not configured for money release.","Site is not configured for money release."
"Day is not valid for money release.","Day is not valid for money release."
"Config already exist.","Config already exist."
"The type parameter must be full_financing or no_financing.","The type parameter must be full_financing or no_financing."
"Warning!! WrapperCache failed to update a key, may be outdated a key.","Warning!! WrapperCache failed to update a key, may be outdated a key."
"Invalid money_release_date.","Invalid money_release_date."
"Error obtaining rule profile.","Error obtaining rule profile."
"Shipping restriction get API fail.","Shipping restriction get API fail."
"Refund not allowed by shipping.","Refund not allowed by shipping."
"Wrong percentage to refund.","Wrong percentage to refund."
"Movement operations pending.","Movement operations pending."
"Movement operations failed.","Movement operations failed."
"Payer doesn't support refunds.","Payer doesn't support refunds."
"No partial refund is supported for shipping.","No partial refund is supported for shipping."
"User unavailable.","User unavailable."
"Invalid message from streams.","Invalid message from streams."
"Fail sync kvs to oracle.","Fail sync kvs to oracle."
"Collector doesn't support refunds.","Collector doesn't support refunds."
"Exchange doesn't support partial refunds.","Exchange doesn't support partial refunds."
"Payment doesn't refund support.","Payment doesn't refund support."
"Could not find a valid MovementOperationProcessor.","Could not find a valid MovementOperationProcessor."
"KVS schema validation error.","KVS schema validation error."
"The parameter msg.movement_operation_ids can not be null or empty.","The parameter msg.movement_operation_ids can not be null or empty."
"Payment doesn't support refund type.","Payment doesn't support refund type."
"Invalid marketplaceFee value.","Invalid marketplaceFee value."
"The payment has taxes contingencies to resolve.","The payment has taxes contingencies to resolve."
"DS schema validation error.","DS schema validation error."
"Connection to Loan API Failed.","Connection to Loan API Failed."
"Error in loans api, invocation.","Error in loans api, invocation."
"Loan error, bad_request.","Loan error, bad_request."
"Loan error, incomplete_reference_data.","Loan error, incomplete_reference_data."
"Loan error, credit_option_not_found.","Loan error, credit_option_not_found."
"Loan error, invalid_borrower, the user is not authorized to take loans.","Loan error, invalid_borrower, the user is not authorized to take loans."
"Loan error, invalid_credit_option_status.","Loan error, invalid_credit_option_status."
"Loan error, expired_credit_option.","Loan error, expired_credit_option."
"Loan error, insufficient_credit_balance.","Loan error, insufficient_credit_balance."
"Loan error, internal_error.","Loan error, internal_error."
"Loan error, simulation_error.","Loan error, simulation_error."
"Loan error, save_loan_error.","Loan error, save_loan_error."
"Loan error, forbidden.","Loan error, forbidden."
"Loan error, invalid_status_transition.","Loan error, invalid_status_transition."
"Loan error, invalid_status.","Loan error, invalid_status."
"Loan error, already_captured.","Loan error, already_captured."
"Loan error, none_options_match.","Loan error, none_options_match."
"Loan error, the lender hasn't the required balance.","Loan error, the lender hasn't the required balance."
"Loan error, invalid ip address.","Loan error, invalid ip address."
"Invalid authorization.","Invalid authorization."
"Connection to Digital Wallet API Failed.","Connection to Digital Wallet API Failed."
"Digital wallet error.","Digital wallet error."
"Digital wallet get authorization error.","Digital wallet get authorization error."
"Digital wallet invalid transaction status.","Digital wallet invalid transaction status."
"Digital wallet get transaction error.","Digital wallet get transaction error."
"Digital wallet refund rejected.","Digital wallet refund rejected."
"Digital wallet Service Unavailable.","Digital wallet Service Unavailable."
"Invalid order.","Invalid order."
"Invalid order status.","Invalid order status."
"Invalid order type.","Invalid order type."
"Order without approved regular_payment.","Order without approved regular_payment."
"Invalid order owner.","Invalid order owner."
"To generate a registered boleto the following parameters are required: payer.address.zip_code , payer.address.street_name , payer.address.street_number , payer.address.neighborhood , payer.address.city , payer.address.federal_unit.","To generate a registered boleto the following parameters are required: payer.address.zip_code , payer.address.street_name , payer.address.street_number , payer.address.neighborhood , payer.address.city , payer.address.federal_unit."
"The expiration date can not be greater than 29 days.","The expiration date can not be greater than 29 days."
"Invalid expiration date.","Invalid expiration date."
"To generate a registered boleto the following parameters are required: payer.first_name , payer.last_name.","To generate a registered boleto the following parameters are required: payer.first_name , payer.last_name."
"third_party.identification.type required.","third_party.identification.type required."
"third_party.identification.number required.","third_party.identification.number required."
"Invalid third_party.identification.type.","Invalid third_party.identification.type."
"third_party.identification.number attribute must be numeric.","third_party.identification.number attribute must be numeric."
"third_party.identification.number attribute must be positive.","third_party.identification.number attribute must be positive."
"Payment method not supported for refunds.","Payment method not supported for refunds."
"Refund not applicable by tags.","Refund not applicable by tags."
"BIGQ payments-payments fail.","BIGQ payments-payments fail."
"Fail proactive cache.","Fail proactive cache."
"Invalid site_id.","Invalid site_id."
"The payment status is not valid to refunded.","The payment status is not valid to refunded."
"The payment has type movements income - special_transfer.","The payment has type movements income - special_transfer."
"BIGQ ggaas-movement-operation-bradesco post fail.","BIGQ ggaas-movement-operation-bradesco post fail."
"BIGQ ggaas-movement-operation-resto post fail.","BIGQ ggaas-movement-operation-resto post fail."
"BIGQ payments-restrict-movements post fail.","BIGQ payments-restrict-movements post fail."
"BIGQ ggaas-movement-operation-splitter post fail.","BIGQ ggaas-movement-operation-splitter post fail."
"POST to Reserve API fail.","POST to Reserve API fail."
"PUT to Reserve API fail.","PUT to Reserve API fail."
"GET to Reserve API fail.","GET to Reserve API fail."
"Invalid reserve.","Invalid reserve."
"params transaction_details.bank_transfer_id cant be null.","params transaction_details.bank_transfer_id cant be null."
"params transaction_details.bank_transfer_id must be integer.","params transaction_details.bank_transfer_id must be integer."
"params transaction_details.transaction_id cant be null.","params transaction_details.transaction_id cant be null."
"customer different to collector.","customer different to collector."
"Invalid account fund status.","Invalid account fund status."
"PUT to Reserve API conflict.","PUT to Reserve API conflict."
"Invalid tag.","Invalid tag."
"Loan error, grant refund rejected.","Loan error, grant refund rejected."
"Loan error, grant refund bad_request.","Loan error, grant refund bad_request."
"Loan error, grant refund api fail.","Loan error, grant refund api fail."
"Taxes API Fail.","Taxes API Fail."
"Only account_money can have reserve_id.","Only account_money can have reserve_id."
"Fail authorazing reserve.","Fail authorazing reserve."
"Fail deauthorazing reserve.","Fail deauthorazing reserve."
"Invalid reserve id.","Invalid reserve id."
"PUT to Reserve API Unknown Error.","PUT to Reserve API Unknown Error."
"POST to revert reserve API fail.","POST to revert reserve API fail."
"POST to reserve API forbidden.","POST to reserve API forbidden."
"Incomplete data for charges.","Incomplete data for charges."
"PUT to reserve API forbidden.","PUT to reserve API forbidden."
"ReserveId cant be null.","ReserveId cant be null."
"BankTransfers Api fail.","BankTransfers Api fail."
"Invalid sort value.","Invalid sort value."
"Invalid criteria value.","Invalid criteria value."
"Offset parameter is too large.","Offset parameter is too large."
"Server busy for executing search.","Server busy for executing search."
"Invalid params on executed search.","Invalid params on executed search."
"third_party.identification required.","third_party.identification required."
"Payment method must be cbu for subsidy.","Payment method must be cbu for subsidy."
"GET to MERCHANT_ACCOUNT API failed.","GET to MERCHANT_ACCOUNT API failed."
"Product id is incorrect for tef.","Product id is incorrect for tef."
"Unauthorized product_id.","Unauthorized product_id."
"Header productId can't be null.","Header productId can't be null."
"Can't re update external reference.","Can't re update external reference."
"Payment router cannot find route.","Payment router cannot find route."
"Payment router unavailable.","Payment router unavailable."
"Payment router error.","Payment router error."
"Payment router invalid credentials.","Payment router invalid credentials."
"Payment router missing credentials.","Payment router missing credentials."
"Payment router solved route not found.","Payment router solved route not found."
"Payment router error getting solved route.","Payment router error getting solved route."
"Invalid G2 merchant account.","Invalid G2 merchant account."
"Invalid coupon total amount.","Invalid coupon total amount."
"Invalid source type.","Invalid source type."
"Operation not supported.","Operation not supported."
"Invalid status_detail for Reject.","Invalid status_detail for Reject."
"API Offline Payment: Service unavailable.","API Offline Payment: Service unavailable."
"API Offline Payment: Server provider error.","API Offline Payment: Server provider error."
"API Offline Payment: Reason invalid.","API Offline Payment: Reason invalid."
"API Offline Payment: Transaction not found.","API Offline Payment: Transaction not found."
"Too many tax fields.","Too many tax fields."
"taxes attribute must be null.","taxes attribute must be null."
"bank_info.account_type attribute has invalid value.","bank_info.account_type attribute has invalid value."
"Compliance Support MCC API Fail.","Compliance Support MCC API Fail."
"User status not allowed for this operation.","User status not allowed for this operation."
"Banking Connection API fail.","Banking Connection API fail."
"Financial Identity API fail.","Financial Identity API fail."
"Collector user without key enabled for QR render.","Collector user without key enabled for QR render."
"params point_of_interaction.type cant be null.","params point_of_interaction.type cant be null."
"params point_of_interaction.application_data.name cant be null.","params point_of_interaction.application_data.name cant be null."
"param bank_transfer_id cant be null.","param bank_transfer_id cant be null."
"param transaction_id cant be null.","param transaction_id cant be null."
"param point_of_interaction cant be null.","param point_of_interaction cant be null."
"param point_of_interaction.sub_type cant be null.","param point_of_interaction.sub_type cant be null."
"Payment Method not allowed to send this type in point_of_interaction.","Payment Method not allowed to send this type in point_of_interaction."
"Param point_of_interaction.type not allowed.","Param point_of_interaction.type not allowed."
"Invalid point_of_interaction.location.state_id.","Invalid point_of_interaction.location.state_id."
"Invalid point_of_interaction.location.source.","Invalid point_of_interaction.location.source."
"Invalid point_of_interaction.location. Service unavailable.","Invalid point_of_interaction.location. Service unavailable."
"This payment have a infraction that not can update status.","This payment have a infraction that not can update status."
"The update status infraction is not allowed.","The update status infraction is not allowed."
"param point_of_interaction.transaction_data.bank.payer-external_account_id can't be null.","param point_of_interaction.transaction_data.bank.payer-external_account_id can't be null."
"param financial_institution cant be null.","param financial_institution cant be null."
"param point_of_interaction.transaction_data.financial_institution can't be null.","param point_of_interaction.transaction_data.financial_institution can't be null."
"param point_of_interaction.transaction_data can't be null.","param point_of_interaction.transaction_data can't be null."
"param point_of_interaction.linked_to is not allowed.","param point_of_interaction.linked_to is not allowed."
"There was a problem calling ThreeDS server.","There was a problem calling ThreeDS server."
"ThreeDS server not found.","ThreeDS server not found."
"Payment Type not allowed.","Payment Type not allowed."
"GET to PayIn API Fail.","GET to PayIn API Fail."
"PUT to PayIn API Fail.","PUT to PayIn API Fail."
"PayIn not found.","PayIn not found."
"Invalid status payIn.","Invalid status payIn."
"PayIn refund rejected.","PayIn refund rejected."
"PIX Service Unavailable.","PIX Service Unavailable."
"GET to Bank Connection API Fail.","GET to Bank Connection API Fail."
"Refund in process.","Refund in process."
"POST to PayIn API Fail.","POST to PayIn API Fail."
"POST Payin service is unavailable.","POST Payin service is unavailable."
"PUT Payin service is unavailable.","PUT Payin service is unavailable."
"GET PayIn by BankTransferId API Fail.","GET PayIn by BankTransferId API Fail."
"Hulk bad request.","Hulk bad request."
"Hulk bad gateway.","Hulk bad gateway."
"Hulk service unavailable.","Hulk service unavailable."
"Hulk negative balance.","Hulk negative balance."
"Hulk different sites between users.","Hulk different sites between users."
"Hulk invalid amount for cancellation.","Hulk invalid amount for cancellation."
"Hulk invalid amount for user.","Hulk invalid amount for user."
"Hulk invalid currency for site.","Hulk invalid currency for site."
"Hulk invalid type users involved.","Hulk invalid type users involved."
"Hulk invalid request.","Hulk invalid request."
"Hulk server error.","Hulk server error."
"Hulk unmapped invalid request error.","Hulk unmapped invalid request error."
"Hulk invalid move to cancel.","Hulk invalid move to cancel."
"Hulk invalid data for cancellation.","Hulk invalid data for cancellation."
"Hulk invalid detail.","Hulk invalid detail."
"Hulk error fix empty key on reserve.","Hulk error fix empty key on reserve."
"Limit of allowed refunds exceeded, try other refund mode.","Limit of allowed refunds exceeded, try other refund mode."
"Unsupported refund status.","Unsupported refund status."
"Unsupported refund authorization mode.","Unsupported refund authorization mode."
"There is a authorized Refund in process.","There is a authorized Refund in process."
"Funder is not a meliplace.","Funder is not a meliplace."
"Funder without id.","Funder without id."
"Funder attribute is not allowed.","Funder attribute is not allowed."
"Funder restricted.","Funder restricted."
"The Payment Method Reference Id is wrong.","The Payment Method Reference Id is wrong."
"The Merchant is not a meliplace.","The Merchant is not a meliplace."
"Store id is empty.","Store id is empty."
"Store id is invalid.","Store id is invalid."
"Meliplace validation error.","Meliplace validation error."
"Meliplace is not enabled.","Meliplace is not enabled."
"Invalid reserve for the charge.","Invalid reserve for the charge."
"Reservation for the charge failed.","Reservation for the charge failed."
"Revert for the reservation associated to charge failed.","Revert for the reservation associated to charge failed."
"Idempotency value for create charge cannot match with payment id.","Idempotency value for create charge cannot match with payment id."
"Charges is currently in process.","Charges is currently in process."
"POST to rule_engine-taxes API fail.","POST to rule_engine-taxes API fail."
"POST to rule_engine API fail.","POST to rule_engine API fail."
"movOpId attribute can't be null.","movOpId attribute can't be null."
"To create this openfinance payment, the following parameters are required: payer.identification.type , payer.identification.number.","To create this openfinance payment, the following parameters are required: payer.identification.type , payer.identification.number."
"external_operations.source value is not allowed.","external_operations.source value is not allowed."
"external_operations.source can't be null.","external_operations.source can't be null."
"external_operations.id can't be null.","external_operations.id can't be null."
"external_operations.id must be numeric.","external_operations.id must be numeric."
"Review the card number.","Review the card number."
"Review the due date.","Review the due date."
"Review the data.","Review the data."
"Review the card's security code.","Review the card's security code."
"We are unable to process your payment.","We are unable to process your payment."
"You must authorize your card issuer to pay the amount to Mercado Pago.","You must authorize your card issuer to pay the amount to Mercado Pago."
"Call your card center to activate your card. The phone number is on the back of your card.","Call your card center to activate your card. The phone number is on the back of your card."
"We were unable to process your payment.","We were unable to process your payment."
"You have already made a payment with this amount. If you need to pay again, use another card or other form of payment. Your payment has been declined.","You have already made a payment with this amount. If you need to pay again, use another card or other form of payment. Your payment has been declined."
"Choose another payment method. We recommend cash payment methods.","Choose another payment method. We recommend cash payment methods."
"The card does not have enough balance.","The card does not have enough balance."
"The card does not allow payment in installments.","The card does not allow payment in installments."
"You have reached the allowed attempt limit. Choose another card or payment method.","You have reached the allowed attempt limit. Choose another card or payment method."
"The card does not process the payment.","The card does not process the payment."
"The payment was rejected because the user does not have the credit function enabled on his multiple card (debit and credit).","The payment was rejected because the user does not have the credit function enabled on his multiple card (debit and credit)."
"mp_payment_id","Identificación de pago (Mercado Pago)"
"card_installments","Cuotas"
"card_type","Bandeira"
"card_number","Numero de tarjeta"
"card_holder_name","Nombre impreso en tarjeta"
"card_exp_year","Año de vencimiento"
"card_exp_month","Mês de vencimiento"
"payer_document_identification","Documento de identificación"
"payer_first_name","Nombre"
"payer_last_name","Apellido"
"init_point","Link"
"date_of_expiration","Fecha de expiración"
"barcode","Código de barras"
"external_resource_url","Enlace de pago"
"verification_code","Código de verificación"
"financial_institution","Institución"
"payer_document_type","Tipo de documento"
"mp_status","Status (Mercado Pago)"
"mp_status_detail","Status Detallado (Mercado Pago)"
"PAYMENT INFORMATION","INFORMACIÓN DE PAGO"
"Payment Number (Mercado Pago): %1","Número de Pago (Mercado Pago): %1"
"FIRST PAYMENT METHOD", "PRIMERA FORMA DE PAGO"
"Card number:","Número de la tarjeta:"
"Expiration date:","Fecha de vencimiento:"
"Card holder:","Titular de la tarjeta:"
"Payment method:","Medio de pago:"
"Installments:","Cuotas:"
"Identification in the invoice:","Identificación en el resumen:"
"Payment status:","Estado del pago:"
"Detailed payment status:","Estado detallado del pago:"
"SECOND PAYMENT METHOD","SEGUNDA FORMA DE PAGO"
"Your order is <b>%1</b>!","Recibimos tu pedido <b>%1</b>!"
"Thank you for your purchase!","Gracias por su compra!"
"We are processing your payment","Estamos procesando tu pago"
"Continue Shopping","Seguir comprando"
"Create an Account","Crear una cuenta"
"First card details:","Datos de la primera tarjeta:"
"Enter the amount to be paid with the first method *", "Ingresá el monto a pagar con el primer medio *"
"Value not allowed!","Valor no permitido!"
"Remaining value ","Valor restante "
"Credit card","Tarjeta de crédito"
"Second card details:","Datos de la segunda tarjeta:"
"Payment processed by Mercado Pago","Pago procesado por Mercado Pago"
"This is a required field.","Este es un campo obligatorio."
"You can track your order status by creating an account.","Puede rastrear el estado de su pedido creando una cuenta."
"cardNumber should be a number.","Número de la tarjeta debería ser un número."
"cardNumber is empty.","Número de la tarjeta está vacío."
"cardNumber should be of length between '8' and '19'.","Número de la tarjeta debe ser de longitud entre '8' y '19'."
"securityCode should be a number.","CVV - Código de seguridad debería ser un número."
"securityCode should be of length '3' or '4'.","CVV - Código de seguridad debe ser de longitud '3' o '4'."
"securityCode is empty.","CVV - Código de seguridad esta vacio."
"expirationMonth should be a number.","Mes de vencimiento debería ser un número."
"expirationMonth is empty.","Mes de vencimiento esta vacio."
"expirationYear should be of length '2' or '4'.","Año de vencimiento debe ser de longitud '2' o '4'."
"expirationYear should be a number.","Año de vencimiento debería ser un número."
"expirationYear is empty.","Año de vencimiento esta vacio."
"expirationMonth should be a value from 1 to 12.","Mes de vencimiento debe ser un valor de 1 a 12."
"expirationYear value should be greater or equal than %1.", "Año de vencimiento no es válido"
"expirationMonth value should be greater than '%1' or expirationYear value should be greater than '%2'.", "Mes de vencimiento o el valor del año de vencimiento no es válido."
"cardNumber should be of length '16'.","Número de la tarjeta debe ser de longitud 16."
"Pay with two cards","Pagar con dos tarjetas"
"Payment with two cards","Pago con dos tarjetas"
